student_id,age,region,enroll_date,exam_season,courses_enrolled,completed_assignments,completion_rate,login_frequency,last_activity_days_ago,forum_posts_count,dropout_score,label,label_multiclass,label_name,engagement_score,activity_level,risk_level
STU00001,26,Alexandria,2024-01-13,0,3,5,0.3571,5.29,10,5,0.1064,0,0,active,9.29,Medium,Medium Risk
STU00002,23,Amman,2024-05-05,0,6,0,0.0,0.84,7,0,0.6627,1,2,dropped,0.14,Low,High Risk
STU00003,17,Dubai,2024-03-12,0,3,1,0.0435,1.79,36,0,0.7299,1,2,dropped,-0.81,Low,High Risk
STU00004,23,Alexandria,2024-12-12,0,6,13,0.4396,0.78,9,0,0.5315,1,1,at-risk,12.879999999999999,Low,Medium Risk
STU00005,20,Baghdad,2024-02-14,0,5,5,0.2078,0.92,11,0,0.7904,1,2,dropped,4.82,Low,High Risk
STU00006,25,Doha,2024-08-04,0,3,11,0.7234,8.4,7,8,0.0,0,0,active,18.7,High,Low Risk
STU00007,25,Cairo,2024-01-16,0,7,5,0.1551,0.32,1,0,0.6193,1,2,dropped,5.220000000000001,Low,High Risk
STU00008,17,Alexandria,2024-04-21,1,2,3,0.2634,2.72,1,3,0.6569,1,2,dropped,5.620000000000001,Low,High Risk
STU00009,17,Dubai,2024-09-15,0,7,8,0.2171,5.91,4,7,0.3358,1,1,at-risk,13.51,Medium,Medium Risk
STU00010,21,Doha,2024-01-14,0,5,11,0.4524,4.58,5,7,0.1237,0,0,active,15.08,Medium,Medium Risk
STU00011,24,Baghdad,2024-04-11,0,4,3,0.1623,2.9,28,4,0.6798,1,2,dropped,3.1000000000000005,Low,High Risk
STU00012,28,Baghdad,2024-08-02,0,4,15,0.7388,9.29,7,8,0.0927,0,0,active,23.59,High,Low Risk
STU00013,20,Dubai,2024-08-17,0,1,1,0.2116,3.65,4,0,0.2804,0,0,active,4.25,Medium,Medium Risk
STU00014,21,Doha,2024-05-22,0,3,1,0.0757,1.89,7,2,0.4269,1,1,at-risk,2.1899999999999995,Low,High Risk
